15 jobs  15 machines
 840612802   398197754     ta01
 1314640371  386720536     ta02
 1227221349  316176388     ta03
 342269428   1806358582    ta04
 1603221416  1501949241    ta05
 1357584978  1734077082    ta06
 44531661    1374316395    ta07
 302545136   2092186050    ta08
 1153780144  1393392374    ta09
 73896786    1544979948    ta10
  
 20 jobs  15 machines
 533484900   317419073     ta11
 1894307698  1474268163    ta12
 874340513   509669280     ta13
 1124986343  1209573668    ta14
 1463788335  529048107     ta15
 1056908795  25321885      ta16
 195672285   1717580117    ta17
 961965583   1353003786    ta18
 1610169733  1734469503    ta19
 532794656   998486810     ta20
  
 20 jobs  20 machines
 1035939303  773961798     ta21
 5997802     1872541150    ta22
 1357503601  722225039     ta23
 806159563   1166962073    ta24
 1902815253  1879990068    ta25
 1503184031  1850351876    ta26
 1032645967  99711329      ta27
 229894219   1158117804    ta28
 823349822   108033225     ta29
 1297900341  489486403     ta30

 30 jobs  15 machines
 98640593    1981283465    ta31
 1839268120  248890888     ta32
 573875290   2081512253    ta33
 1670898570  788294565     ta34
 1118914567  1074349202    ta35
 178750207   294279708     ta36
 1549372605  596993084     ta37
 798174738   151685779     ta38
 553410952   1329272528    ta39
 1661531649  1173386294    ta40
  
 30 jobs  20 machines
 1841414609  1357882888    ta41
 2116959593  1546338557    ta4@
 796392706   1230864158    ta43
 532496463    254174057    ta44
 2020525633   978943053    ta45
 524444252    185526083    ta46
 1569394691   487269855    ta47
 1460267840  1631446539    ta48
 198324822   1937476577    ta49
 38071822    1541985579    ta50
  
 50 jobs  15 machines
     17271      718939     ta51
 660481279   449650254     ta52
 352229765   949737911     ta53
 1197518780  166840558     ta54
 1376020303  483922052     ta55
 2106639239  955932362     ta56
 1765352082  1209982549    ta57
 1105092880  1349003108    ta58
 907248070   919544535     ta59
 2011630757  1845447001    ta60
  
 50 jobs  20 machines
 8493988       2738939     ta61
 1991925010  709517751     ta62
 342093237   786960785     ta63
 1634043183  973178279     ta64
 341706507   286513148     ta65
 320167954   1411193018    ta66
 1089696753  298068750     ta67
 433032965   1589656152    ta68
 615974477   331205412     ta69
 236150141   592292984     ta70
  
 100 jobs  20 machines
 302034063   1203569070    ta71
 1437643198  1692025209    ta72
 1792475497  1039908559    ta73
 1647273132  1012841433    ta74
 696480901   1689682358    ta75
 1785569423  1092647459    ta76
 117806902   739059626     ta77
 1639154709  1319962509    ta78
 2007423389  749368241     ta79
 682761130   262763021     ta80
